6/11 12:23:8  step===1000, Epoch 7/1000, accuracy = 0.000,avg_train_cost = 24.511, lastbatch_err = 0.997, time = 44.387,lr=0.00099000
6/11 12:49:27  step===2000, Epoch 13/1000, accuracy = 0.000,avg_train_cost = 23.619, lastbatch_err = 0.985, time = 87.040,lr=0.00098010
6/11 13:15:8  step===3000, Epoch 19/1000, accuracy = 0.000,avg_train_cost = 21.239, lastbatch_err = 0.893, time = 129.530,lr=0.00097030
6/11 13:48:38  step===4000, Epoch 25/1000, accuracy = 0.030,avg_train_cost = 18.028, lastbatch_err = 0.830, time = 281.038,lr=0.00096060
6/11 14:29:47  step===5000, Epoch 31/1000, accuracy = 0.030,avg_train_cost = 15.046, lastbatch_err = 0.707, time = 347.861,lr=0.00095099
6/11 15:11:29  step===6000, Epoch 38/1000, accuracy = 0.091,avg_train_cost = 12.519, lastbatch_err = 0.699, time = 15.886,lr=0.00094148
6/11 15:53:15  step===7000, Epoch 44/1000, accuracy = 0.061,avg_train_cost = 11.947, lastbatch_err = 0.699, time = 85.771,lr=0.00093207
6/11 16:34:59  step===8000, Epoch 50/1000, accuracy = 0.091,avg_train_cost = 11.312, lastbatch_err = 0.689, time = 156.318,lr=0.00092274
6/11 17:16:42  step===9000, Epoch 56/1000, accuracy = 0.121,avg_train_cost = 10.698, lastbatch_err = 0.640, time = 225.758,lr=0.00091352
6/11 17:58:24  step===10000, Epoch 62/1000, accuracy = 0.152,avg_train_cost = 10.247, lastbatch_err = 0.651, time = 295.196,lr=0.00090438
6/11 18:40:8  step===11000, Epoch 68/1000, accuracy = 0.152,avg_train_cost = 9.839, lastbatch_err = 0.610, time = 365.458,lr=0.00089534
6/11 19:21:53  step===12000, Epoch 75/1000, accuracy = 0.182,avg_train_cost = 9.251, lastbatch_err = 0.636, time = 30.656,lr=0.00088638
6/11 20:3:35  step===13000, Epoch 81/1000, accuracy = 0.152,avg_train_cost = 8.762, lastbatch_err = 0.621, time = 101.030,lr=0.00087752
6/11 20:45:16  step===14000, Epoch 87/1000, accuracy = 0.152,avg_train_cost = 8.675, lastbatch_err = 0.540, time = 170.386,lr=0.00086875
6/11 21:26:58  step===15000, Epoch 93/1000, accuracy = 0.182,avg_train_cost = 8.310, lastbatch_err = 0.560, time = 241.057,lr=0.00086006
6/11 22:8:38  step===16000, Epoch 99/1000, accuracy = 0.182,avg_train_cost = 8.024, lastbatch_err = 0.496, time = 310.406,lr=0.00085146
6/11 22:50:16  step===17000, Epoch 105/1000, accuracy = 0.182,avg_train_cost = 7.710, lastbatch_err = 0.505, time = 381.030,lr=0.00084294
6/11 23:31:57  step===18000, Epoch 112/1000, accuracy = 0.182,avg_train_cost = 7.366, lastbatch_err = 0.480, time = 45.622,lr=0.00083451
6/12 0:12:42  step===19000, Epoch 118/1000, accuracy = 0.212,avg_train_cost = 7.037, lastbatch_err = 0.465, time = 80.164,lr=0.00082617
6/12 0:49:13  step===20000, Epoch 124/1000, accuracy = 0.212,avg_train_cost = 6.774, lastbatch_err = 0.439, time = 184.895,lr=0.00081791
6/12 1:30:55  step===21000, Epoch 130/1000, accuracy = 0.303,avg_train_cost = 6.601, lastbatch_err = 0.413, time = 256.377,lr=0.00080973
6/12 2:0:52  step===22000, Epoch 136/1000, accuracy = 0.273,avg_train_cost = 6.364, lastbatch_err = 0.443, time = 199.361,lr=0.00080163
6/12 2:26:48  step===23000, Epoch 142/1000, accuracy = 0.303,avg_train_cost = 6.156, lastbatch_err = 0.349, time = 242.065,lr=0.00079361
6/12 2:52:18  step===24000, Epoch 149/1000, accuracy = 0.242,avg_train_cost = 5.895, lastbatch_err = 0.411, time = 37.127,lr=0.00078568
6/12 3:17:53  step===25000, Epoch 155/1000, accuracy = 0.242,avg_train_cost = 5.656, lastbatch_err = 0.426, time = 80.071,lr=0.00077782
6/12 3:43:28  step===26000, Epoch 161/1000, accuracy = 0.242,avg_train_cost = 5.468, lastbatch_err = 0.395, time = 122.751,lr=0.00077004
6/12 4:8:57  step===27000, Epoch 167/1000, accuracy = 0.333,avg_train_cost = 5.433, lastbatch_err = 0.383, time = 165.277,lr=0.00076234
6/12 4:34:51  step===28000, Epoch 173/1000, accuracy = 0.364,avg_train_cost = 5.246, lastbatch_err = 0.351, time = 224.994,lr=0.00075472
6/12 5:0:20  step===29000, Epoch 180/1000, accuracy = 0.364,avg_train_cost = 4.950, lastbatch_err = 0.354, time = 3.647,lr=0.00074717
6/12 5:25:51  step===30000, Epoch 186/1000, accuracy = 0.333,avg_train_cost = 4.906, lastbatch_err = 0.350, time = 46.661,lr=0.00073970
6/12 5:51:21  step===31000, Epoch 192/1000, accuracy = 0.333,avg_train_cost = 4.825, lastbatch_err = 0.378, time = 88.933,lr=0.00073230
6/12 6:17:17  step===32000, Epoch 198/1000, accuracy = 0.333,avg_train_cost = 4.627, lastbatch_err = 0.315, time = 132.118,lr=0.00072498
6/12 6:42:46  step===33000, Epoch 204/1000, accuracy = 0.424,avg_train_cost = 4.543, lastbatch_err = 0.312, time = 175.099,lr=0.00071773
6/12 7:8:16  step===34000, Epoch 210/1000, accuracy = 0.394,avg_train_cost = 4.470, lastbatch_err = 0.365, time = 217.735,lr=0.00071055
