6/9 7:57:12  step===1000, Epoch 7/1000, accuracy = 0.000,avg_train_cost = 24.704, lastbatch_err = 0.993, time = 7.157,lr=0.00099000
6/9 8:22:20  step===2000, Epoch 13/1000, accuracy = 0.000,avg_train_cost = 24.094, lastbatch_err = 0.989, time = 12.631,lr=0.00098010
6/9 8:47:28  step===3000, Epoch 19/1000, accuracy = 0.000,avg_train_cost = 22.815, lastbatch_err = 0.926, time = 18.406,lr=0.00097030
6/9 12:1:59  step===4000, Epoch 3/1000, accuracy = 0.029,avg_train_cost = 19.442, lastbatch_err = 0.837, time = 104.230,lr=0.00096060
6/9 12:27:10  step===5000, Epoch 9/1000, accuracy = 0.029,avg_train_cost = 16.155, lastbatch_err = 0.774, time = 108.892,lr=0.00095099
6/9 12:52:20  step===6000, Epoch 15/1000, accuracy = 0.057,avg_train_cost = 13.782, lastbatch_err = 0.741, time = 115.211,lr=0.00094148
6/9 13:17:28  step===7000, Epoch 21/1000, accuracy = 0.057,avg_train_cost = 12.640, lastbatch_err = 0.725, time = 120.806,lr=0.00093207
6/9 13:42:35  step===8000, Epoch 27/1000, accuracy = 0.057,avg_train_cost = 11.730, lastbatch_err = 0.720, time = 127.108,lr=0.00092274
6/9 14:7:42  step===9000, Epoch 33/1000, accuracy = 0.086,avg_train_cost = 11.237, lastbatch_err = 0.690, time = 132.776,lr=0.00091352
6/9 14:32:47  step===10000, Epoch 39/1000, accuracy = 0.114,avg_train_cost = 10.709, lastbatch_err = 0.641, time = 138.994,lr=0.00090438
6/9 14:57:52  step===11000, Epoch 45/1000, accuracy = 0.171,avg_train_cost = 10.333, lastbatch_err = 0.621, time = 144.833,lr=0.00089534
6/9 15:22:58  step===12000, Epoch 51/1000, accuracy = 0.143,avg_train_cost = 9.918, lastbatch_err = 0.637, time = 150.848,lr=0.00088638
6/10 1:57:9  step===13000, Epoch 4/1000, accuracy = 0.171,avg_train_cost = 9.538, lastbatch_err = 0.562, time = 165.120,lr=0.00087752
6/10 2:25:5  step===14000, Epoch 10/1000, accuracy = 0.171,avg_train_cost = 9.140, lastbatch_err = 0.509, time = 170.908,lr=0.00086875
6/10 2:52:40  step===15000, Epoch 16/1000, accuracy = 0.200,avg_train_cost = 8.816, lastbatch_err = 0.491, time = 177.398,lr=0.00086006
6/10 3:22:17  step===16000, Epoch 22/1000, accuracy = 0.229,avg_train_cost = 8.437, lastbatch_err = 0.496, time = 293.606,lr=0.00085146
6/10 4:5:3  step===17000, Epoch 28/1000, accuracy = 0.229,avg_train_cost = 8.224, lastbatch_err = 0.439, time = 302.345,lr=0.00084294
6/10 4:48:2  step===18000, Epoch 34/1000, accuracy = 0.229,avg_train_cost = 7.960, lastbatch_err = 0.469, time = 314.836,lr=0.00083451
6/10 5:31:6  step===19000, Epoch 40/1000, accuracy = 0.257,avg_train_cost = 7.617, lastbatch_err = 0.453, time = 324.878,lr=0.00082617
6/10 6:12:51  step===20000, Epoch 46/1000, accuracy = 0.286,avg_train_cost = 7.337, lastbatch_err = 0.446, time = 329.252,lr=0.00081791
6/10 6:55:4  step===21000, Epoch 52/1000, accuracy = 0.286,avg_train_cost = 7.080, lastbatch_err = 0.431, time = 341.168,lr=0.00080973
6/10 7:37:40  step===22000, Epoch 58/1000, accuracy = 0.257,avg_train_cost = 6.833, lastbatch_err = 0.446, time = 352.567,lr=0.00080163
6/10 10:4:37  step===21000, Epoch 7/1000, accuracy = 0.286,avg_train_cost = 6.773, lastbatch_err = 0.460, time = 12.265,lr=0.00080973
6/10 10:48:21  step===22000, Epoch 13/1000, accuracy = 0.229,avg_train_cost = 6.870, lastbatch_err = 0.463, time = 22.097,lr=0.00080163
6/10 11:32:15  step===23000, Epoch 19/1000, accuracy = 0.314,avg_train_cost = 6.635, lastbatch_err = 0.443, time = 32.133,lr=0.00079361
6/10 12:16:11  step===24000, Epoch 25/1000, accuracy = 0.343,avg_train_cost = 6.220, lastbatch_err = 0.421, time = 42.947,lr=0.00078568
6/10 13:0:5  step===25000, Epoch 31/1000, accuracy = 0.286,avg_train_cost = 6.169, lastbatch_err = 0.407, time = 53.231,lr=0.00077782
6/10 13:44:2  step===26000, Epoch 37/1000, accuracy = 0.314,avg_train_cost = 5.925, lastbatch_err = 0.384, time = 64.040,lr=0.00077004
