5/5 9:22:0  step===1000, Epoch 2/1000, accuracy = 0.000,avg_train_cost = 25.680, lastbatch_err = 1.000, time = 64.940,lr=0.00990000
5/5 9:51:4  step===2000, Epoch 8/1000, accuracy = 0.000,avg_train_cost = 24.873, lastbatch_err = 0.975, time = 116.332,lr=0.00980100
5/5 10:33:28  step===3000, Epoch 14/1000, accuracy = 0.000,avg_train_cost = 24.650, lastbatch_err = 0.960, time = 67.140,lr=0.00970299
5/5 10:57:25  step===4000, Epoch 20/1000, accuracy = 0.000,avg_train_cost = 23.624, lastbatch_err = 0.937, time = 72.678,lr=0.00960596
5/5 11:21:18  step===5000, Epoch 26/1000, accuracy = 0.000,avg_train_cost = 20.016, lastbatch_err = 0.857, time = 78.254,lr=0.00950990
5/5 11:45:8  step===6000, Epoch 32/1000, accuracy = 0.034,avg_train_cost = 14.405, lastbatch_err = 0.733, time = 83.963,lr=0.00941480
5/5 12:14:4  step===7000, Epoch 38/1000, accuracy = 0.099,avg_train_cost = 10.682, lastbatch_err = 0.587, time = 172.383,lr=0.00932065
5/5 13:1:13  step===8000, Epoch 44/1000, accuracy = 0.168,avg_train_cost = 8.380, lastbatch_err = 0.465, time = 183.676,lr=0.00922745
5/5 13:48:18  step===9000, Epoch 50/1000, accuracy = 0.279,avg_train_cost = 6.525, lastbatch_err = 0.336, time = 194.697,lr=0.00913517
5/5 14:35:21  step===10000, Epoch 56/1000, accuracy = 0.331,avg_train_cost = 5.125, lastbatch_err = 0.280, time = 205.910,lr=0.00904382
5/6 14:9:21  step===12000, Epoch 7/1000, accuracy = 0.488,avg_train_cost = 3.004, lastbatch_err = 0.153, time = 20.140,lr=0.00886385
5/6 14:58:20  step===13000, Epoch 13/1000, accuracy = 0.571,avg_train_cost = 2.196, lastbatch_err = 0.118, time = 26.690,lr=0.00877521
5/7 0:52:46  step===14000, Epoch 2/1000, accuracy = 0.694,avg_train_cost = 1.800, lastbatch_err = 0.072, time = 109.571,lr=0.00868746
5/7 1:43:9  step===15000, Epoch 8/1000, accuracy = 0.748,avg_train_cost = 1.313, lastbatch_err = 0.055, time = 117.880,lr=0.00860058
5/7 2:35:52  step===16000, Epoch 2/1000, accuracy = 0.824,avg_train_cost = 1.250, lastbatch_err = 0.036, time = 213.366,lr=0.00851458
5/7 3:2:13  step===17000, Epoch 8/1000, accuracy = 0.811,avg_train_cost = 0.971, lastbatch_err = 0.037, time = 216.497,lr=0.00842943
5/7 3:30:38  step===18000, Epoch 14/1000, accuracy = 0.860,avg_train_cost = 0.832, lastbatch_err = 0.026, time = 269.880,lr=0.00834514
5/7 4:22:55  step===19000, Epoch 20/1000, accuracy = 0.854,avg_train_cost = 0.744, lastbatch_err = 0.033, time = 459.387,lr=0.00826169
5/7 5:15:11  step===20000, Epoch 26/1000, accuracy = 0.910,avg_train_cost = 0.537, lastbatch_err = 0.016, time = 466.366,lr=0.00817907
5/7 6:6:58  step===21000, Epoch 32/1000, accuracy = 0.917,avg_train_cost = 0.654, lastbatch_err = 0.018, time = 480.398,lr=0.00809728
