5/20 3:26:46  step===76000, Epoch 400/1000, accuracy = 0.971,avg_train_cost = 0.257, lastbatch_err = 0.004, time = 2.004,lr=0.00046588
5/20 3:39:43  step===1000, Epoch 500/1000, accuracy = 0.429,avg_train_cost = 3.288, lastbatch_err = 0.132, time = 1.701,lr=0.00099000
5/20 3:44:6  step===2000, Epoch 1000/1000, accuracy = 0.857,avg_train_cost = 0.910, lastbatch_err = 0.034, time = 1.134,lr=0.00098010
5/20 5:4:7  step===1000, Epoch 7/1000, accuracy = 0.000,avg_train_cost = 25.478, lastbatch_err = 0.994, time = 7.258,lr=0.00099000
5/20 5:29:28  step===2000, Epoch 13/1000, accuracy = 0.000,avg_train_cost = 24.571, lastbatch_err = 0.985, time = 12.814,lr=0.00098010
5/20 5:54:49  step===3000, Epoch 19/1000, accuracy = 0.000,avg_train_cost = 23.827, lastbatch_err = 0.975, time = 18.556,lr=0.00097030
5/20 6:20:11  step===4000, Epoch 25/1000, accuracy = 0.000,avg_train_cost = 21.956, lastbatch_err = 0.940, time = 24.899,lr=0.00096060
5/20 6:45:28  step===5000, Epoch 31/1000, accuracy = 0.000,avg_train_cost = 19.702, lastbatch_err = 0.865, time = 30.649,lr=0.00095099
5/20 7:12:31  step===6000, Epoch 37/1000, accuracy = 0.000,avg_train_cost = 17.082, lastbatch_err = 0.804, time = 36.909,lr=0.00094148
5/20 7:38:20  step===7000, Epoch 43/1000, accuracy = 0.029,avg_train_cost = 14.989, lastbatch_err = 0.746, time = 42.650,lr=0.00093207
5/20 8:4:12  step===8000, Epoch 49/1000, accuracy = 0.057,avg_train_cost = 13.501, lastbatch_err = 0.743, time = 48.891,lr=0.00092274
5/20 8:29:32  step===9000, Epoch 55/1000, accuracy = 0.086,avg_train_cost = 12.868, lastbatch_err = 0.662, time = 54.676,lr=0.00091352
5/20 8:55:1  step===10000, Epoch 61/1000, accuracy = 0.143,avg_train_cost = 11.966, lastbatch_err = 0.670, time = 60.932,lr=0.00090438
5/20 9:20:10  step===11000, Epoch 67/1000, accuracy = 0.143,avg_train_cost = 11.682, lastbatch_err = 0.690, time = 66.639,lr=0.00089534
5/20 9:46:45  step===12000, Epoch 73/1000, accuracy = 0.114,avg_train_cost = 11.159, lastbatch_err = 0.676, time = 73.015,lr=0.00088638
5/20 10:13:4  step===13000, Epoch 79/1000, accuracy = 0.171,avg_train_cost = 10.785, lastbatch_err = 0.658, time = 78.689,lr=0.00087752
5/20 10:38:12  step===14000, Epoch 85/1000, accuracy = 0.200,avg_train_cost = 10.491, lastbatch_err = 0.621, time = 84.934,lr=0.00086875
5/20 11:3:19  step===15000, Epoch 91/1000, accuracy = 0.171,avg_train_cost = 10.037, lastbatch_err = 0.685, time = 90.621,lr=0.00086006
5/20 11:28:27  step===16000, Epoch 97/1000, accuracy = 0.143,avg_train_cost = 9.814, lastbatch_err = 0.607, time = 97.079,lr=0.00085146
5/20 11:54:10  step===17000, Epoch 103/1000, accuracy = 0.114,avg_train_cost = 9.480, lastbatch_err = 0.586, time = 102.649,lr=0.00084294
5/20 12:19:18  step===18000, Epoch 109/1000, accuracy = 0.200,avg_train_cost = 9.252, lastbatch_err = 0.447, time = 109.021,lr=0.00083451
5/20 12:46:26  step===19000, Epoch 2/1000, accuracy = 0.171,avg_train_cost = 8.579, lastbatch_err = 0.476, time = 52.317,lr=0.00041308
5/20 13:11:34  step===20000, Epoch 8/1000, accuracy = 0.286,avg_train_cost = 8.514, lastbatch_err = 0.411, time = 57.843,lr=0.00040895
5/20 13:42:59  step===21000, Epoch 4/1000, accuracy = 0.398,avg_train_cost = 8.096, lastbatch_err = 0.307, time = 160.183,lr=0.00008097
5/20 14:8:8  step===22000, Epoch 10/1000, accuracy = 0.420,avg_train_cost = 8.040, lastbatch_err = 0.299, time = 162.208,lr=0.00008016
5/20 14:33:18  step===23000, Epoch 16/1000, accuracy = 0.408,avg_train_cost = 7.913, lastbatch_err = 0.303, time = 168.158,lr=0.00007936
5/20 14:59:28  step===24000, Epoch 22/1000, accuracy = 0.455,avg_train_cost = 7.979, lastbatch_err = 0.286, time = 174.364,lr=0.00007857
