5/16 16:20:11  step===2000, Epoch 200/1000, accuracy = 0.714,avg_train_cost = 0.737, lastbatch_err = 0.099, time = 1.978,lr=0.00098010
5/16 16:28:29  step===1000, Epoch 1/1000, accuracy = 0.000,avg_train_cost = 25.918, lastbatch_err = 0.980, time = 249.873,lr=0.00099000
5/16 16:32:36  step===2000, Epoch 1/1000, accuracy = 0.000,avg_train_cost = 25.570, lastbatch_err = 0.989, time = 496.366,lr=0.00098010
5/16 16:36:43  step===3000, Epoch 2/1000, accuracy = 0.000,avg_train_cost = 25.030, lastbatch_err = 0.982, time = 83.826,lr=0.00097030
5/16 16:40:50  step===4000, Epoch 2/1000, accuracy = 0.000,avg_train_cost = 24.756, lastbatch_err = 0.972, time = 331.369,lr=0.00096060
5/16 16:44:58  step===5000, Epoch 2/1000, accuracy = 0.000,avg_train_cost = 24.655, lastbatch_err = 0.971, time = 579.243,lr=0.00095099
5/16 16:49:5  step===6000, Epoch 3/1000, accuracy = 0.000,avg_train_cost = 24.361, lastbatch_err = 0.979, time = 166.715,lr=0.00094148
5/16 16:53:12  step===7000, Epoch 3/1000, accuracy = 0.000,avg_train_cost = 24.234, lastbatch_err = 0.961, time = 413.735,lr=0.00093207
5/16 16:57:20  step===8000, Epoch 4/1000, accuracy = 0.000,avg_train_cost = 24.048, lastbatch_err = 0.985, time = 4.044,lr=0.00092274
5/16 17:1:27  step===9000, Epoch 4/1000, accuracy = 0.000,avg_train_cost = 23.673, lastbatch_err = 0.978, time = 251.236,lr=0.00091352
5/16 17:5:34  step===10000, Epoch 4/1000, accuracy = 0.000,avg_train_cost = 23.420, lastbatch_err = 0.953, time = 498.014,lr=0.00090438
5/16 17:9:40  step===11000, Epoch 5/1000, accuracy = 0.000,avg_train_cost = 22.399, lastbatch_err = 0.912, time = 87.049,lr=0.00089534
5/16 17:13:48  step===12000, Epoch 5/1000, accuracy = 0.000,avg_train_cost = 21.916, lastbatch_err = 0.907, time = 334.631,lr=0.00088638
5/16 17:17:55  step===13000, Epoch 5/1000, accuracy = 0.000,avg_train_cost = 21.380, lastbatch_err = 0.872, time = 582.012,lr=0.00087752
5/16 17:22:2  step===14000, Epoch 6/1000, accuracy = 0.029,avg_train_cost = 19.577, lastbatch_err = 0.847, time = 170.506,lr=0.00086875
5/16 17:26:9  step===15000, Epoch 6/1000, accuracy = 0.000,avg_train_cost = 19.141, lastbatch_err = 0.833, time = 416.905,lr=0.00086006
5/16 17:30:15  step===16000, Epoch 7/1000, accuracy = 0.000,avg_train_cost = 17.306, lastbatch_err = 0.851, time = 7.541,lr=0.00085146
5/16 17:34:22  step===17000, Epoch 7/1000, accuracy = 0.057,avg_train_cost = 16.921, lastbatch_err = 0.799, time = 254.547,lr=0.00084294
5/16 17:38:29  step===18000, Epoch 7/1000, accuracy = 0.029,avg_train_cost = 16.712, lastbatch_err = 0.801, time = 501.393,lr=0.00083451
5/16 17:42:37  step===19000, Epoch 8/1000, accuracy = 0.029,avg_train_cost = 15.566, lastbatch_err = 0.772, time = 91.132,lr=0.00082617
5/16 17:46:44  step===20000, Epoch 8/1000, accuracy = 0.057,avg_train_cost = 15.573, lastbatch_err = 0.789, time = 338.242,lr=0.00081791
5/16 17:50:52  step===21000, Epoch 8/1000, accuracy = 0.057,avg_train_cost = 15.348, lastbatch_err = 0.798, time = 586.613,lr=0.00080973
