5/7 4:21:57  step===1000, Epoch 7/1000, accuracy = 0.000,avg_train_cost = 25.626, lastbatch_err = 1.000, time = 20.832,lr=0.00990000
5/7 5:14:31  step===2000, Epoch 13/1000, accuracy = 0.000,avg_train_cost = 25.172, lastbatch_err = 0.980, time = 28.239,lr=0.00980100
5/7 6:7:0  step===3000, Epoch 19/1000, accuracy = 0.000,avg_train_cost = 25.193, lastbatch_err = 0.971, time = 39.361,lr=0.00970299
5/7 6:49:59  step===4000, Epoch 25/1000, accuracy = 0.000,avg_train_cost = 25.004, lastbatch_err = 0.944, time = 28.350,lr=0.00960596
5/7 7:17:14  step===5000, Epoch 31/1000, accuracy = 0.000,avg_train_cost = 24.548, lastbatch_err = 0.937, time = 34.614,lr=0.00950990
5/7 7:45:13  step===6000, Epoch 37/1000, accuracy = 0.000,avg_train_cost = 24.284, lastbatch_err = 0.932, time = 41.218,lr=0.00941480
5/7 8:12:22  step===7000, Epoch 43/1000, accuracy = 0.000,avg_train_cost = 23.910, lastbatch_err = 0.932, time = 47.539,lr=0.00932065
5/9 9:52:27  step===8000, Epoch 3/1000, accuracy = 0.000,avg_train_cost = 23.329, lastbatch_err = 0.930, time = 117.467,lr=0.00922745
5/9 11:7:7  step===9000, Epoch 4/1000, accuracy = 0.000,avg_train_cost = 22.486, lastbatch_err = 0.910, time = 183.481,lr=0.00913517
5/9 11:48:12  step===10000, Epoch 10/1000, accuracy = 0.000,avg_train_cost = 21.682, lastbatch_err = 0.879, time = 173.996,lr=0.00904382
5/9 12:26:5  step===11000, Epoch 16/1000, accuracy = 0.000,avg_train_cost = 19.990, lastbatch_err = 0.836, time = 358.958,lr=0.00895338
5/9 13:20:13  step===12000, Epoch 22/1000, accuracy = 0.040,avg_train_cost = 15.879, lastbatch_err = 0.750, time = 372.982,lr=0.00886385
5/9 14:14:20  step===13000, Epoch 28/1000, accuracy = 0.060,avg_train_cost = 13.432, lastbatch_err = 0.717, time = 384.925,lr=0.00877521
5/9 15:8:26  step===14000, Epoch 34/1000, accuracy = 0.066,avg_train_cost = 12.189, lastbatch_err = 0.665, time = 398.667,lr=0.00868746
5/10 0:36:25  step===15000, Epoch 2/1000, accuracy = 0.083,avg_train_cost = 11.051, lastbatch_err = 0.609, time = 59.771,lr=0.00860058
